"","INSTNM","CONTROL","TUITFTE","INEXPFTE","C150_4_WHITE","C150_4_BLACK","C150_4_HISP","C150_4_ASIAN","C150_4_AIAN","C150_4_NHPI","C150_4_2MOR","C150_4_NRA","C150_4_UNKN","LO_INC_DEBT_MDN","MD_INC_DEBT_MDN","HI_INC_DEBT_MDN","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10"
"89","Charles of Italy Beauty College",3,"8454","1830","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5948","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"90","Cochise County Community College District",1,"744","3140","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3839.5","4289","4000","30800","39500","47900"
"91","Empire Beauty School-Flagstaff",3,"8056","6584","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7350","8028","8080","21600","PrivacySuppressed","PrivacySuppressed"
"92","Empire Beauty School-Chandler",3,"8320","6356","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7350","8028","8080","21600","PrivacySuppressed","PrivacySuppressed"
"93","Cortiva Institute-Tucson",3,"7758","3265","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6333","6333","6333","22700","PrivacySuppressed","PrivacySuppressed"
"94","Avalon School of Cosmetology-Mesa",3,"7516","3770","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8615","10555","10552","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"95","Eastern Arizona College",1,"752","5555","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","32300","PrivacySuppressed","PrivacySuppressed"
"96","Embry-Riddle Aeronautical University-Prescott",2,"26607","14781","0.5938","0","0.413","0.75","0.6667","NULL","NULL","0.8125","0.5484","12473","12478","15500","64900","65100","66600"
"97","Frank Lloyd Wright School of Architecture",2,"52798","38544","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"98","Glendale Community College",1,"1489","4684","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3500","4454","3500","34400","39000","42700"
"99","Grand Canyon University",3,"10550","1837","0.4545","0.1818","0.1429","NULL","0.5","NULL","NULL","0.6","0.2245","9500","14102.5","15625","42600","49800","57000"
"100","International Academy of Hair Design",3,"9428","5705","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6333","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"101","GateWay Community College",1,"2394","5491","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5774.5","7969","7766","30400","41400","49100"
"102","Mesa Community College",1,"1957","4701","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4500","4500","3500","37400","41800","46600"
"103","ITT Technical Institute-Tucson",3,"19470","1722","0.375","0.25","0.2069","NULL","1","NULL","NULL","NULL","0.3333","12667","17014","17000","38200","46300","47200"
"104","ITT Technical Institute-Tempe",3,"19621","1925","0.2857","0.25","0.4348","0","0.1875","NULL","NULL","NULL","NULL","12667","17014","17000","38200","46300","47200"
"105","Mohave Community College",1,"1568","3613","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8574","7609","4462","27100","PrivacySuppressed","PrivacySuppressed"
"106","Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division",3,"9773","3365","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","16063","15188","12000","32900","39600","40200"
"107","Dine College",1,"157","9532","NULL","0","0","NULL","0.1497","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","21800","PrivacySuppressed","PrivacySuppressed"
"108","Northern Arizona University",1,"7331","7510","0.5404","0.4237","0.4536","0.4747","0.3361","0.4545","0.5833","0.5676","0.4375","13558","13356","13750","41300","43000","45800"
"109","Northland Pioneer College",1,"1245","6303","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","26400","PrivacySuppressed","PrivacySuppressed"
"110","Ottawa University-Phoenix",2,"6371","1771","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12500","13770","13750","40300","43400","50000"
"111","Phoenix College",1,"1488","5044","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5755","7660","5500","33000","38900","42700"
"112","Cortiva Institute-Scottsdale",3,"7936","5427","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7600","PrivacySuppressed","PrivacySuppressed","25200","30200","31800"
"113","Pima Community College",1,"1742","3914","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4000","4500","3500","31500","36900","44300"
"114","Pima Medical Institute-Tucson",3,"6165","2713","0.669","0.4684","0.6742","0.8148","0.5806","NULL","0.6538","NULL","0.6585","8445","8708","9298","27100","33800","37000"
"115","Pima Medical Institute-Albuquerque",3,"5857","3033","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8445","8708","9298","27100","33800","37000"
"116","Prescott College",2,"17501","7738","0.3846","0","0","0","0","NULL","0.3333","NULL","0","18000","15750","14000","31900","36300","35800"
"117","Refrigeration School Inc",3,"10449","1491","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9744","8232","35800","40200","50500"
"118","Rio Salado College",1,"2724","2173","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3500","3500","3500","36100","PrivacySuppressed","PrivacySuppressed"
"119","Roberto-Venn School of Luthiery",3,"10458","9626","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7307","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"120","Hair Academy of Safford",3,"3587","6080","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"121","Scottsdale Community College",1,"2294","6584","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4500","3500","3500","37200","42600","48400"
"122","South Mountain Community College",1,"982","5705","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","4981.5","5250","27900","PrivacySuppressed","PrivacySuppressed"
"123","Arizona Christian University",2,"9345","6537","0.614","0.5","0.5","1","1","NULL","NULL","NULL","NULL","11108","9500","12000","PrivacySuppressed","33200","PrivacySuppressed"
"124","Tucson College",3,"12540","3443","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9498","9499","5500","22700","PrivacySuppressed","PrivacySuppressed"
"125","Universal Technical Institute of Arizona Inc",3,"12401","3241","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14750","14243","12000","42800","45700","48300"
"126","Western International University",3,"8252","3306","0.0238","0","0.0909","0","0","NULL","NULL","0","0","18847","21517.5","20179","41900","55500","66900"
"127","Empire Beauty School-NW Phoenix",3,"8236","7609","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6820.5","6968","9500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"128","Yavapai College",1,"2060","5818","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5593","4754","4943","30500","36300","45800"
"129","University of Arkansas at Little Rock",1,"6640","7485","0.3246","0.1567","0.3462","0.2727","0.3","NULL","0.2857","NULL","0.5","12750","12523","10500","34400","39400","43700"
"130","University of Arkansas for Medical Sciences",1,"12646","62580","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12500","12500","7500","62000","68000","80900"
"131","ABC Beauty College Inc",3,"6541","10718","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"132","Arkansas Baptist College",2,"8166","4684","0.2","0.1905","NULL","NULL","NULL","NULL","NULL","0.3333","NULL","10250","9500","9500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"133","Arkansas Beauty School-Little Rock",3,"5590","3417","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"134","Arkansas Beauty College",3,"7668","3272","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"135","Lyon College",2,"9009","10540","0.506","0.3333","NULL","0","0.3333","NULL","NULL","0","0.7143","15000","11350","10000","36700","40400","46800"
"136","Arkansas College of Barbering and Hair Design",3,"8127","1702","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"137","Arthur's Beauty College Inc-Fort Smith",3,"11169","5724","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6750","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"138","University of Arkansas",1,"7143","9069","0.6365","0.4364","0.6064","0.6707","0.5484","1","0.5","0.7222","0.5385","14748.5","14648.5","13925","45800","50300","51100"
"139","University of Arkansas at Pine Bluff",1,"2164","7827","0.3636","0.2663","0.3333","NULL","NULL","NULL","NULL","0.6","0","12380","16023","15000","28100","32400","35300"
"140","Arkansas State University-Beebe",1,"1750","4949","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4500","4769.5","5250","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"141","Arkansas State University-Main Campus",1,"3633","5358","0.4754","0.2775","0.3462","0.3333","0.5714","NULL","NULL","0.1","0.2946","12763","11993","11000","31000","37800","44000"
"142","Arkansas Tech University",1,"3668","4516","0.4678","0.2533","0.2889","0.2857","0.36","NULL","NULL","0.4","NULL","9975.5","11000","9500","34400","37700","42300"
"143","University of Arkansas at Monticello",1,"2942","7186","0.3435","0.1304","0.6","0","0.1429","NULL","NULL","NULL","NULL","7065","7937","7770","31500","36500","40600"
"144","Arthur's Beauty College Inc-Jacksonville",3,"10747","5534","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8373.5","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"145","Baptist Health College-Little Rock",2,"4441","5108","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","13585","10415","43900","PrivacySuppressed","PrivacySuppressed"
"146","Black River Technical College",1,"1435","4328","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7790","5990","6000","28000","PrivacySuppressed","PrivacySuppressed"
"147","University of Central Arkansas",1,"4697","6788","0.4718","0.2914","0.4211","0.5926","0.4118","NULL","NULL","0.5904","0.5273","10661.5","11500","11000","34900","41400","45800"
"148","Central Baptist College",2,"8783","5018","0.3448","0","0","NULL","0","NULL","1","0.6667","NULL","9951","13273","8750","PrivacySuppressed","36600","PrivacySuppressed"
"149","Cossatot Community College of the University of Arkansas",1,"1165","5918","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","27800","PrivacySuppressed","PrivacySuppressed"
"150","Crowley's Ridge College",2,"7679","3030","0.1887","0.2222","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9069.5","12000","5500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"151","Crowley's Ridge Technical Institute",1,"439","7567","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"152","East Arkansas Community College",1,"1538","4156","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1750","PrivacySuppressed","PrivacySuppressed","23100","PrivacySuppressed","PrivacySuppressed"
"153","Eastern College of Health Vocations-Little Rock",3,"5332","1740","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3412","4252.5","4263","18500","PrivacySuppressed","PrivacySuppressed"
"154","Imagine-Paul Mitchell Partner School",3,"6347","3538","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9833","9833","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"155","National Park Community College",1,"1809","5816","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","8000","5500","25800","PrivacySuppressed","PrivacySuppressed"
"156","University of Arkansas Community College-Batesville",1,"1221","6530","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8250","6063","5143","25600","PrivacySuppressed","PrivacySuppressed"
"157","Harding University",2,"12463","9684","0.6299","0.3929","0.4231","NULL","0.3333","NULL","0.6667","0.8529","0.75","17385","19786","21000","44400","40500","45100"
"158","Henderson State University",1,"3067","6495","0.4031","0.2431","0.4","0.2","0.3333","NULL","NULL","0.2174","0.3","9188","11000","9500","35600","38800","41000"
"159","Hendrix College",2,"11902","11426","0.7407","0.4706","0.75","0.5","0.6667","NULL","0.5714","0.8571","0.875","21250","21564","15750","46400","46000","46600"
"160","Hot Springs Beauty College",3,"9965","5496","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"161","Jefferson Regional Medical Center School of Nursing",2,"3541","4721","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"162","John Brown University",2,"10593","7556","0.592","0.4","0.7778","0.25","0.25","NULL","1","0.7241","NULL","17500","20000","18588","43700","53100","62500"
"163","Lees School of Cosmetology",3,"5087","5915","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"164","Career Academy of Hair Design",3,"11468","3470","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6365","6365","4565","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"165","Academy of Salon and Spa",3,"8019","5929","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6521","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"166","Arkansas State University Mid-South",1,"7747","12448","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","24400","PrivacySuppressed","PrivacySuppressed"
"167","Arkansas Northeastern College",1,"1285","9608","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","25200","PrivacySuppressed","PrivacySuppressed"
"168","Margaret's Hair Academy Inc",3,"5339","4544","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"169","New Tyler Barber College Inc",3,"4526","1857","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"170","North Arkansas College",1,"942","5405","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8000","7985","4500","26000","PrivacySuppressed","PrivacySuppressed"
"171","Northwest Technical Institute",1,"2575","9710","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"172","Ouachita Baptist University",2,"10798","8934","0.6023","0.3871","0.3333","NULL","0.8333","NULL","NULL","0.5455","NULL","11035","19000","14850","41400","37700","45600"
"173","College of the Ouachitas",1,"1606","5258","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6869.5","5437.5","4000","25000","PrivacySuppressed","PrivacySuppressed"
"174","Ozarka College",1,"827","3782","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9225","4700","26800","PrivacySuppressed","PrivacySuppressed"
"175","University of the Ozarks",2,"10822","9797","0.4605","0.375","0.3333","1","0.3333","NULL","0","0.8235","0","9500","13000","12000","29100","38400","45000"
"176","University of Arkansas Community College-Morrilton",1,"1911","3836","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","4750","5372.5","4463","27700","PrivacySuppressed","PrivacySuppressed"
"177","Philander Smith College",2,"7317","6539","0","0.3798","0","NULL","NULL","NULL","NULL","0.7143","0","19000","22000","23681","24900","PrivacySuppressed","PrivacySuppressed"
"178","Phillips Community College of the University of Arkansas",1,"431","6863","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","22500","PrivacySuppressed","PrivacySuppressed"
"179","Southeast Arkansas College",1,"1884","4811","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3500","4436.5","3500","25700","PrivacySuppressed","PrivacySuppressed"
"180","Professional Cosmetology Education Center",3,"5258","1973","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8177","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"181","Pulaski Technical College",1,"1450","3618","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11318","10260","6500","27600","35600","36600"
"182","University of Arkansas Community College-Hope",1,"1197","5506","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","2625","PrivacySuppressed","PrivacySuppressed","24300","PrivacySuppressed","PrivacySuppressed"
"183","Rich Mountain Community College",1,"1318","4541","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","23000","PrivacySuppressed","PrivacySuppressed"
"184","Paul Mitchell the School-Arkansas",3,"7790","4460","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9833","8285","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"185","Searcy Beauty College",3,"1384","850","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"186","Shorter College",2,"5005","1006","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"187","Williams Baptist College",2,"6711","5047","0.4318","0","0","0","0","NULL","NULL","0.3333","NULL","10000","10000","8125","32300","36700","34100"
"188","South Arkansas Community College",1,"1636","6799","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8250","7000","5500","27900","PrivacySuppressed","PrivacySuppressed"
"189","Southern Arkansas University Main Campus",1,"3602","6436","0.3665","0.2022","0.4545","0.2","0.5","NULL","NULL","0.1591","NULL","9500","10000","9500","35100","37900","45700"
"190","Southern Arkansas University Tech",1,"2349","6710","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3500","5500","5500","27400","PrivacySuppressed","PrivacySuppressed"
"191","Velvatex College of Beauty Culture",3,"390","720","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"192","University of Arkansas-Fort Smith",1,"2356","5534","0.2556","0.1818","0.2615","0.3125","0.3019","NULL","NULL","0.5","NULL","6625","7520","6000","31100","35400","42800"
"193","Academy of Art University",3,"25086","12136","0.2595","0.1746","0.1875","0.3956","0.3333","NULL","NULL","0.5676","0.2746","14245","15500","18096","39800","48200","48100"
"194","ITT Technical Institute-Rancho Cordova",3,"18433","3361","0.3333","0.2692","0.55","0.2727","0","NULL","NULL","NULL","NULL","12667","17014","17000","38200","46300","47200"
"195","Academy of Chinese Culture and Health Sciences",2,"7414","4146","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"196","The Academy of Radio and TV Broadcasting",3,"12261","1471","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9300","PrivacySuppressed","PrivacySuppressed","28000","PrivacySuppressed","PrivacySuppressed"
"197","Avalon School of Cosmetology-Alameda",3,"7387","3878","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6835.5","7000","6273","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"198","College of Alameda",1,"1067","3772","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6300","PrivacySuppressed","PrivacySuppressed","35800","PrivacySuppressed","PrivacySuppressed"
"199","Allan Hancock College",1,"678","4454","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","6417","5500","5500","32900","PrivacySuppressed","PrivacySuppressed"
"200","American Academy of Dramatic Arts-Los Angeles",2,"23615","6652","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12000","9500","8500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"201","American Baptist Seminary of the West",2,"11239","17070","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"202","American Film Institute Conservatory",2,"26320","6831","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"203","American Beauty College",3,"6960","2623","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"204","American Career College-Los Angeles",3,"11851","3829","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9500","9500","9500","30700","37100","42400"
"205","American Conservatory Theater",2,"25044","17174","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"206","American River College",1,"451","3481","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","7000","7293.5","5429.5","32300","43300","47900"
"207","Antelope Valley College",1,"350","3710","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8439.5","7500","5500","30400","PrivacySuppressed","PrivacySuppressed"
"208","Art Center College of Design",2,"30191","19131","0.4375","0","0.8571","0.7931","NULL","NULL","NULL","0.6923","NULL","31210","29250","27750","57400","63900","65100"
"209","Associated Technical College-Los Angeles",3,"15296","5156","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"210","Associated Technical College-San Diego",3,"15755","5107","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"211","Azusa Pacific University",2,"18423","10128","0.7072","0.5217","0.5875","0.6747","0.4","NULL","0.58","0.6","0.7632","18330","18528","18500","48900","53900","54800"
"212","Bakersfield College",1,"540","4564","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8237","6500","5500","32900","39000","51900"
"213","Barstow Community College",1,"339","3890","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","32000","PrivacySuppressed","PrivacySuppressed"
"214","Bellus Academy-National City",3,"11921","4349","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13620","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"215","Bethesda University",2,"4432","3426","NULL","1","NULL","0.7273","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"216","Biola University",2,"21146","10696","0.7211","0.45","0.7257","0.6941","0.5","0.2","0.8333","0.8571","0.0968","20000","21000","19500","44200","44300","49300"
"217","Brooks Institute",3,"22622","8556","0.5455","0","0.6667","0.3333","NULL","NULL","0.3333","NULL","0.5909","26219","26501","26000","31000","33900","37500"
"218","Brownson Technical School",3,"8167","2909","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9392","9439","5500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"219","Bryan University",3,"15123","5522","0.0362","0.0313","0.0568","0.0625","0","NULL","0","NULL","0","7059.5","11332","16500","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"220","Butte College",1,"930","4664","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8500","6500","5500","33500","39500","46300"
"221","Phillips Graduate Institute",2,"17461","9380","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL","NULL","NULL"
"222","California Institute of Integral Studies",2,"17739","10901","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","18750","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"223","Cabrillo College",1,"987","6668","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9000","5500","5500","39300","PrivacySuppressed","PrivacySuppressed"
"224","California Baptist University",2,"18625","8080","0.6145","0.2162","0.4946","0.5","0.5","NULL","0.75","0.7619","0.4737","19250","21500","19500","37800","43000","48800"
"225","California College of the Arts",2,"27248","15586","0.4911","0.4","0.7143","0.5349","0.5","1","NULL","0.6923","0.4545","27000","25000","19500","44400","48800","43800"
"226","University of California-Hastings College of Law",1,"29651","23717","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","113200","PrivacySuppressed","PrivacySuppressed"
"227","California Institute of Technology",2,"16533","92590","0.8925","1","0.9231","0.9375","NULL","1","NULL","0.92","0.75","PrivacySuppressed","PrivacySuppressed","11750","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed"
"228","California Lutheran University",2,"18773","8294","0.6895","0.9167","0.5938","0.5588","1","1","0.5","0.5","0.5","20250","19000","18548.5","51600","48700","60300"
"229","California Polytechnic State University-San Luis Obispo",1,"8330","9610","0.7824","0.5","0.655","0.6685","0.7308","0.7059","NULL","0.6667","0.7774","16166.5","16000","16833","65600","64600","69700"
"230","Alliant International University-San Diego",2,"17614","8800","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3000","4000","3000","59200","62900","61900"
"231","California State University-Bakersfield",1,"2882","6431","0.4437","0.1667","0.4684","0.3725","0.4545","0.25","NULL","0.2","0.3411","10000","10335","13000","44500","50400","51800"
